instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_50/50-19-9,,cd05,,Grid-50,35416
results/Grid/Ratio_50/50-12-9,,cd05,,Grid-50,34404
results/Grid/Ratio_50/50-16-9,,cd06,,Grid-50,18724
results/Grid/Ratio_50/50-16-10,,cd06,,Grid-50,18632
results/Grid/Ratio_50/50-20-3,,sbk05,,Grid-50,17800
results/Grid/Ratio_50/50-20-7,,sbk05,,Grid-50,17804
results/Grid/Ratio_50/50-18-3,,d02,,Grid-50,18900
results/Grid/Ratio_50/50-17-5,,sbk05,,Grid-50,45396
results/Grid/Ratio_50/50-19-8,,cd06,,Grid-50,35456
results/Grid/Ratio_50/50-18-4,,db20,,Grid-50,75924
results/Grid/Ratio_50/50-14-6,,cd06,,Grid-50,44448
results/Grid/Ratio_50/50-16-4,,d02,,Grid-50,18016
results/Grid/Ratio_50/50-15-4,,cd06,,Grid-50,22636
results/Grid/Ratio_50/50-19-8,,cd05,,Grid-50,35516
results/Grid/Ratio_50/50-10-1,0.118,db20,0.530158,Grid-50,23232
results/Grid/Ratio_50/50-16-2,,d02,,Grid-50,18368
results/Grid/Ratio_50/50-17-2,,db20,,Grid-50,76108
results/Grid/Ratio_50/50-19-4,,cd06,,Grid-50,35588
results/Grid/Ratio_50/50-20-2,,cd05,,Grid-50,35524
results/Grid/Ratio_50/50-10-6,,cd05,,Grid-50,49056
results/Grid/Ratio_50/50-10-2,0.559,sbk05,0.694274,Grid-50,39900
results/Grid/Ratio_50/50-18-1,,cd05,,Grid-50,19448
results/Grid/Ratio_50/50-20-2,,sbk05,,Grid-50,26780
results/Grid/Ratio_50/50-18-8,,sbk05,,Grid-50,42412
results/Grid/Ratio_50/50-17-4,,db20,,Grid-50,86208
results/Grid/Ratio_50/50-12-3,,sbk05,,Grid-50,74020
results/Grid/Ratio_50/50-15-7,,d02,,Grid-50,22516
results/Grid/Ratio_50/50-16-4,,cd05,,Grid-50,18332
results/Grid/Ratio_50/50-18-7,,cd05,,Grid-50,19684
results/Grid/Ratio_50/50-20-2,,db20,,Grid-50,93484
results/Grid/Ratio_50/50-12-2,,sbk05,,Grid-50,73392
results/Grid/Ratio_50/50-12-1,,d02,,Grid-50,67256
results/Grid/Ratio_50/50-15-10,,sbk05,,Grid-50,66812
results/Grid/Ratio_50/50-19-9,,db20,,Grid-50,84180
results/Grid/Ratio_50/50-16-9,,cd05,,Grid-50,18740
results/Grid/Ratio_50/50-19-4,,d02,,Grid-50,19748
results/Grid/Ratio_50/50-15-7,,db20,,Grid-50,93736
results/Grid/Ratio_50/50-20-10,,d02,,Grid-50,20196
results/Grid/Ratio_50/50-15-5,,cd05,,Grid-50,18212
results/Grid/Ratio_50/50-20-2,,d02,,Grid-50,19968
results/Grid/Ratio_50/50-14-4,,sbk05,,Grid-50,69328
results/Grid/Ratio_50/50-20-5,,d02,,Grid-50,20328
results/Grid/Ratio_50/50-16-7,,db20,,Grid-50,79252
results/Grid/Ratio_50/50-15-9,,db20,,Grid-50,80488
results/Grid/Ratio_50/50-14-9,,cd05,,Grid-50,21844
results/Grid/Ratio_50/50-18-4,,d02,,Grid-50,18972
results/Grid/Ratio_50/50-18-7,,d02,,Grid-50,19236
results/Grid/Ratio_50/50-16-10,,cd05,,Grid-50,18684
results/Grid/Ratio_50/50-18-5,,sbk05,,Grid-50,39912
results/Grid/Ratio_50/50-12-3,,d02,,Grid-50,51256
results/Grid/Ratio_50/50-16-7,,d02,,Grid-50,18032
results/Grid/Ratio_50/50-20-10,,db20,,Grid-50,76104
results/Grid/Ratio_50/50-10-9,0.289,sbk05,0.479913,Grid-50,27500
results/Grid/Ratio_50/50-20-10,,cd06,,Grid-50,35588
results/Grid/Ratio_50/50-12-7,,cd06,,Grid-50,47272
results/Grid/Ratio_50/50-15-1,,cd05,,Grid-50,17976
results/Grid/Ratio_50/50-17-7,,d02,,Grid-50,18964
results/Grid/Ratio_50/50-12-8,,cd05,,Grid-50,42728
results/Grid/Ratio_50/50-14-2,,cd06,,Grid-50,57576
results/Grid/Ratio_50/50-10-5,,sbk05,,Grid-50,76900
results/Grid/Ratio_50/50-16-3,,cd06,,Grid-50,20044
results/Grid/Ratio_50/50-14-10,,cd06,,Grid-50,24496
results/Grid/Ratio_50/50-12-1,,cd05,,Grid-50,47068
results/Grid/Ratio_50/50-14-1,,cd05,,Grid-50,27672
