instance,novelty,width,dataset,inference_time,encoding,encoding_time,answer
results/original/Grid/Ratio_50/50-12-4.dne,new,34,Grid-50,13.305,cd05,1.67,0
results/original/Grid/Ratio_50/50-17-1.dne,old,,Grid-50,1091.43,sbk05,2.05,
results/original/Grid/Ratio_50/50-12-10.dne,old,,Grid-50,1560.96,sbk05,1.64,
results/original/Grid/Ratio_50/50-19-2.dne,new,55,Grid-50,11.973,cd05,2.12,0
results/original/Grid/Ratio_50/50-15-9.dne,new,21,Grid-50,14.181,cw,0.18,0.216835
results/original/Grid/Ratio_50/50-19-10.dne,new,45,Grid-50,12.213,cd06,2.15,0
results/original/Grid/Ratio_50/50-14-6.dne,old,,Grid-50,3.21,d02,13.62,0.3484375119170531
results/original/Grid/Ratio_50/50-12-7.dne,old,,Grid-50,2.06,cd05,4.89,0.4351957688038674
results/original/Grid/Ratio_50/50-19-1.dne,old,,Grid-50,345.51,bklm16,66.06,
results/original/Grid/Ratio_50/50-18-6.dne,new,,Grid-50,,bklm16,0.44,
results/original/Grid/Ratio_50/50-12-6.dne,old,,Grid-50,1.69,cd05,2.78,0.6118065945863463
results/original/Grid/Ratio_50/50-14-4.dne,old,,Grid-50,13.77,d02,134.82,0.7809365823951346
results/original/Grid/Ratio_50/50-17-4.dne,new,38,Grid-50,11.823,cd06,2.27,0
results/original/Grid/Ratio_50/50-18-9.dne,new,45,Grid-50,11.652,cd06,1.92,0
results/original/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,1.29,cd05,1142.7,
results/original/Grid/Ratio_50/50-16-4.dne,new,20,Grid-50,20.736,cw,0.22,0.365786
results/original/Grid/Ratio_50/50-19-6.dne,old,,Grid-50,1486.23,sbk05,2.19,
results/original/Grid/Ratio_50/50-12-6.dne,old,,Grid-50,1.64,cd06,2.48,0.6118065945863465
results/original/Grid/Ratio_50/50-14-1.dne,new,17,Grid-50,15.358,cw,0.19,0.306238
results/original/Grid/Ratio_50/50-17-6.dne,new,43,Grid-50,14.667,cd06,2.39,0
results/original/Grid/Ratio_50/50-19-8.dne,new,,Grid-50,,sbk05,2.55,
results/original/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,22.24,cd06,192.66,0.4550497831048494
results/original/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,45.15,d02,1082.54,
results/original/Grid/Ratio_50/50-19-6.dne,old,,Grid-50,15.91,cd06,128.08,0.8526774884005575
results/original/Grid/Ratio_50/50-19-5.dne,old,,Grid-50,1.59,cd05,1133.49,
results/original/Grid/Ratio_50/50-10-1.dne,new,26,Grid-50,11.324,cd06,1.55,0
results/original/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,1.7,cd06,3.55,0.24879898335697637
results/original/Grid/Ratio_50/50-15-4.dne,old,,Grid-50,1117.75,sbk05,1.77,
results/original/Grid/Ratio_50/50-17-2.dne,new,24,Grid-50,12.16,sbk05,1.96,0
results/original/Grid/Ratio_50/50-17-2.dne,new,24,Grid-50,77.835,cw,0.21,0.789419
results/original/Grid/Ratio_50/50-16-2.dne,old,,Grid-50,1104.68,sbk05,1.83,
results/original/Grid/Ratio_50/50-15-2.dne,new,19,Grid-50,11.095,d02,2.36,0
results/original/Grid/Ratio_50/50-15-1.dne,new,19,Grid-50,11.544,d02,1.84,0
results/original/Grid/Ratio_50/50-14-3.dne,new,19,Grid-50,11.701,sbk05,2.11,0
results/original/Grid/Ratio_50/50-19-6.dne,new,21,Grid-50,11.465,sbk05,2.08,0
results/original/Grid/Ratio_50/50-18-9.dne,old,,Grid-50,1329.79,sbk05,1.85,
results/original/Grid/Ratio_50/50-10-4.dne,old,,Grid-50,0.97,bklm16,1.7,0.611608
results/original/Grid/Ratio_50/50-17-2.dne,new,24,Grid-50,11.444,d02,1.84,0
results/original/Grid/Ratio_50/50-15-3.dne,new,19,Grid-50,11.851,d02,1.81,0
results/original/Grid/Ratio_50/50-12-1.dne,old,,Grid-50,2.22,bklm16,2.03,0.6753532
results/original/Grid/Ratio_50/50-18-8.dne,old,,Grid-50,35.95,d02,344.6,0.1539318789836871
results/original/Grid/Ratio_50/50-17-8.dne,new,46,Grid-50,11.681,cd05,2.0,0
results/original/Grid/Ratio_50/50-19-9.dne,old,,Grid-50,1067.82,sbk05,1.95,
results/original/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,5.1,cd06,10.44,0.704072208776259
results/original/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,3.28,cd05,13.15,0.21683547462146252
results/original/Grid/Ratio_50/50-14-6.dne,new,17,Grid-50,13.131,cw,0.17,0.348438
results/original/Grid/Ratio_50/50-19-7.dne,old,,Grid-50,340.93,bklm16,59.6,
results/original/Grid/Ratio_50/50-17-4.dne,new,961,Grid-50,,bklm16,0.21,
results/original/Grid/Ratio_50/50-15-2.dne,old,,Grid-50,3.28,d02,1459.85,0.6311830662182015
results/original/Grid/Ratio_50/50-20-7.dne,old,,Grid-50,1.37,cd05,1017.64,
results/original/Grid/Ratio_50/50-10-6.dne,new,14,Grid-50,11.189,sbk05,1.48,0
results/original/Grid/Ratio_50/50-14-8.dne,new,19,Grid-50,11.571,d02,1.73,0
results/original/Grid/Ratio_50/50-12-5.dne,new,525,Grid-50,,bklm16,0.17,
results/original/Grid/Ratio_50/50-17-6.dne,new,24,Grid-50,11.025,sbk05,1.46,0
results/original/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,3.56,cd06,12.58,0.21683547462146252
results/original/Grid/Ratio_50/50-12-2.dne,new,31,Grid-50,11.262,cd06,1.89,0
results/original/Grid/Ratio_50/50-12-3.dne,new,479,Grid-50,,bklm16,0.31,
results/original/Grid/Ratio_50/50-18-10.dne,new,51,Grid-50,14.074,cd05,2.01,0
results/original/Grid/Ratio_50/50-17-5.dne,old,,Grid-50,271.95,bklm16,22.83,
results/original/Grid/Ratio_50/50-16-3.dne,new,20,Grid-50,18.454,cw,0.2,0.302464
results/original/Grid/Ratio_50/50-16-6.dne,old,,Grid-50,7.51,d02,71.87,0.12266719168761298
results/original/Grid/Ratio_50/50-12-2.dne,new,462,Grid-50,,bklm16,0.2,
results/original/Grid/Ratio_50/50-12-4.dne,old,,Grid-50,1572.99,sbk05,1.64,
results/original/Grid/Ratio_50/50-19-8.dne,new,,Grid-50,,cd06,2.39,
results/original/Grid/Ratio_50/50-16-7.dne,old,,Grid-50,66.56,bklm16,10.36,0.6776742
results/original/Grid/Ratio_50/50-14-8.dne,old,,Grid-50,2.41,cd06,5.28,0.15089050629414397
results/original/Grid/Ratio_50/50-14-7.dne,old,,Grid-50,1458.59,sbk05,1.85,
results/original/Grid/Ratio_50/50-17-3.dne,old,,Grid-50,16.59,cd05,64.22,0.008182377912965545
results/original/Grid/Ratio_50/50-16-10.dne,new,42,Grid-50,11.75,cd06,1.8,0
results/original/Grid/Ratio_50/50-19-10.dne,new,1242,Grid-50,,bklm16,0.28,
results/original/Grid/Ratio_50/50-16-9.dne,new,38,Grid-50,11.652,cd06,1.68,0
results/original/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,4.65,cd05,23.81,0.6224305710996485
results/original/Grid/Ratio_50/50-18-1.dne,old,,Grid-50,296.68,bklm16,33.21,
results/original/Grid/Ratio_50/50-16-3.dne,old,,Grid-50,7.26,cd06,56.96,0.3024648408701365
results/original/Grid/Ratio_50/50-18-10.dne,old,,Grid-50,1380.7,sbk05,2.23,
results/original/Grid/Ratio_50/50-12-10.dne,old,,Grid-50,1.88,cd06,3.53,0.6298355927251894
results/original/Grid/Ratio_50/50-14-2.dne,old,,Grid-50,2.38,d02,9.78,0.7818629679135479
results/original/Grid/Ratio_50/50-18-4.dne,new,1034,Grid-50,,bklm16,0.2,
results/original/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1.6,cd05,2.0,0.47991271626867427
results/original/Grid/Ratio_50/50-18-5.dne,new,23,Grid-50,11.538,sbk05,1.9,0
results/original/Grid/Ratio_50/50-19-7.dne,new,56,Grid-50,11.195,cd05,2.18,0
results/original/Grid/Ratio_50/50-14-5.dne,new,675,Grid-50,,bklm16,0.18,
