encoding_time,inference_time,novelty,dataset,answer,instance,encoding
1.14,0.32,new,Grid-50,0.506807,results/Grid/Ratio_50/50-10-6.dne,sbk05
3.15,1034.36,new,Grid-50,,results/Grid/Ratio_50/50-14-8.dne,d02
0.11,1005.06,new,Grid-50,,results/Grid/Ratio_50/50-12-5.dne,bklm16
1.83,1004.81,new,Grid-50,,results/Grid/Ratio_50/50-17-6.dne,sbk05
9.46,3.38,old,Grid-50,0.21683547462146252,results/Grid/Ratio_50/50-15-9.dne,cd06
1.51,1005.83,new,Grid-50,,results/Grid/Ratio_50/50-12-2.dne,cd06
0.23,1252.02,new,Grid-50,,results/Grid/Ratio_50/50-12-3.dne,bklm16
1.89,1003.93,new,Grid-50,,results/Grid/Ratio_50/50-18-10.dne,cd05
39.86,275.81,old,Grid-50,,results/Grid/Ratio_50/50-17-5.dne,bklm16
0.11,6.47,new,Grid-50,0.302464,results/Grid/Ratio_50/50-16-3.dne,cw
70.68,10.78,old,Grid-50,0.12266719168761299,results/Grid/Ratio_50/50-16-6.dne,d02
0.1,1004.02,new,Grid-50,,results/Grid/Ratio_50/50-12-2.dne,bklm16
1.28,1009.37,old,Grid-50,,results/Grid/Ratio_50/50-12-4.dne,sbk05
2.3,1005.4,new,Grid-50,,results/Grid/Ratio_50/50-19-8.dne,cd06
8.19,56.21,old,Grid-50,0.6776742,results/Grid/Ratio_50/50-16-7.dne,bklm16
4.48,1.95,old,Grid-50,0.1508905062941439,results/Grid/Ratio_50/50-14-8.dne,cd06
1.83,1223.31,old,Grid-50,,results/Grid/Ratio_50/50-14-7.dne,sbk05
268.03,39.01,old,Grid-50,0.008182377912965543,results/Grid/Ratio_50/50-17-3.dne,cd05
1.84,1003.07,new,Grid-50,,results/Grid/Ratio_50/50-16-10.dne,cd06
0.12,1002.31,new,Grid-50,,results/Grid/Ratio_50/50-19-10.dne,bklm16
1.99,1003.39,new,Grid-50,,results/Grid/Ratio_50/50-16-9.dne,cd06
8.62,3.04,old,Grid-50,0.6224305710996485,results/Grid/Ratio_50/50-14-5.dne,cd05
47.99,288.31,old,Grid-50,,results/Grid/Ratio_50/50-18-1.dne,bklm16
17.13,4.77,old,Grid-50,0.3024648408701364,results/Grid/Ratio_50/50-16-3.dne,cd06
1.82,1001.68,old,Grid-50,,results/Grid/Ratio_50/50-18-10.dne,sbk05
2.47,1.51,old,Grid-50,0.6298355927251894,results/Grid/Ratio_50/50-12-10.dne,cd06
11.94,2.47,old,Grid-50,0.781862967913548,results/Grid/Ratio_50/50-14-2.dne,d02
0.11,1007.01,new,Grid-50,,results/Grid/Ratio_50/50-18-4.dne,bklm16
1.55,1.17,old,Grid-50,0.47991271626867427,results/Grid/Ratio_50/50-10-9.dne,cd05
1.69,1001.96,new,Grid-50,,results/Grid/Ratio_50/50-18-5.dne,sbk05
2.16,1005.62,new,Grid-50,,results/Grid/Ratio_50/50-19-7.dne,cd05
0.1,889.72,new,Grid-50,,results/Grid/Ratio_50/50-14-5.dne,bklm16
1.83,1243.03,new,Grid-50,,results/Grid/Ratio_50/50-12-6.dne,cd06
4.95,2.27,old,Grid-50,0.6063532923653341,results/Grid/Ratio_50/50-12-5.dne,d02
1.96,1002.07,new,Grid-50,,results/Grid/Ratio_50/50-16-10.dne,d02
401.35,34.2,old,Grid-50,0.7894189906536606,results/Grid/Ratio_50/50-17-2.dne,d02
8.34,3.14,old,Grid-50,0.6311830662182014,results/Grid/Ratio_50/50-15-2.dne,cd05
2.01,1008.32,new,Grid-50,,results/Grid/Ratio_50/50-18-1.dne,d02
0.12,1001.64,new,Grid-50,,results/Grid/Ratio_50/50-19-1.dne,bklm16
92.66,15.21,old,Grid-50,0.30589479081832066,results/Grid/Ratio_50/50-16-8.dne,cd05
2.48,1036.33,old,Grid-50,,results/Grid/Ratio_50/50-18-3.dne,sbk05
1.4,1010.89,new,Grid-50,,results/Grid/Ratio_50/50-12-5.dne,cd06
39.21,6.04,old,Grid-50,0.581650117355937,results/Grid/Ratio_50/50-14-9.dne,d02
1.26,0.23,new,Grid-50,0.479913,results/Grid/Ratio_50/50-10-9.dne,sbk05
2.67,1005.03,new,Grid-50,,results/Grid/Ratio_50/50-20-2.dne,cd06
0.11,1005.68,new,Grid-50,,results/Grid/Ratio_50/50-18-2.dne,bklm16
0.14,63.7,new,Grid-50,0.869726,results/Grid/Ratio_50/50-18-2.dne,cw
2.03,1003.38,new,Grid-50,,results/Grid/Ratio_50/50-19-6.dne,d02
1.64,1004.2,new,Grid-50,,results/Grid/Ratio_50/50-15-2.dne,cd05
1.57,1004.77,old,Grid-50,,results/Grid/Ratio_50/50-15-3.dne,sbk05
1.94,1010.35,new,Grid-50,,results/Grid/Ratio_50/50-18-6.dne,sbk05
1.61,168.79,new,Grid-50,0.306238,results/Grid/Ratio_50/50-14-1.dne,d02
1.44,1005.08,new,Grid-50,,results/Grid/Ratio_50/50-12-4.dne,cd06
0.09,859.76,new,Grid-50,0.248798,results/Grid/Ratio_50/50-12-8.dne,bklm16
2.47,1001.52,new,Grid-50,,results/Grid/Ratio_50/50-19-10.dne,cd05
1006.06,5.13,old,Grid-50,0.4526435558190653,results/Grid/Ratio_50/50-17-7.dne,d02
29.54,6.15,old,Grid-50,0.4593253198128586,results/Grid/Ratio_50/50-15-10.dne,cd05
1.88,1002.38,new,Grid-50,,results/Grid/Ratio_50/50-15-9.dne,cd06
0.1,1005.45,new,Grid-50,,results/Grid/Ratio_50/50-16-2.dne,bklm16
16.65,54.31,old,Grid-50,0.704075,results/Grid/Ratio_50/50-15-5.dne,bklm16
10.31,107.2,old,Grid-50,0.1226666,results/Grid/Ratio_50/50-16-6.dne,bklm16
1.66,1004.29,new,Grid-50,,results/Grid/Ratio_50/50-18-1.dne,cd05
65.02,11.74,old,Grid-50,0.8785580790584718,results/Grid/Ratio_50/50-19-1.dne,cd06
101.43,18.06,old,Grid-50,0.122667191687613,results/Grid/Ratio_50/50-16-6.dne,cd05
0.12,4.79,new,Grid-50,0.459326,results/Grid/Ratio_50/50-15-10.dne,cw
2.04,1003.63,new,Grid-50,,results/Grid/Ratio_50/50-18-5.dne,cd06
2.21,1002.12,new,Grid-50,,results/Grid/Ratio_50/50-19-7.dne,d02
6.87,58.59,old,Grid-50,0.5457691,results/Grid/Ratio_50/50-15-6.dne,bklm16
13.75,4.61,old,Grid-50,0.9256755169062882,results/Grid/Ratio_50/50-15-3.dne,cd06
0.11,1005.7,new,Grid-50,,results/Grid/Ratio_50/50-19-3.dne,bklm16
398.63,43.81,old,Grid-50,0.5878634986669609,results/Grid/Ratio_50/50-20-1.dne,cd06
1.75,1005.12,new,Grid-50,,results/Grid/Ratio_50/50-15-4.dne,cd06
1.39,1004.86,old,Grid-50,,results/Grid/Ratio_50/50-15-8.dne,sbk05
22.32,279.01,old,Grid-50,,results/Grid/Ratio_50/50-17-7.dne,bklm16
2.58,1002.3,new,Grid-50,,results/Grid/Ratio_50/50-20-5.dne,d02
0.09,0.24,new,Grid-50,0.629836,results/Grid/Ratio_50/50-12-10.dne,cw
0.16,185.3,new,Grid-50,0.878559,results/Grid/Ratio_50/50-19-1.dne,cw
145.07999999999998,16.39,old,Grid-50,0.5875264932145595,results/Grid/Ratio_50/50-17-6.dne,d02
1.36,1005.83,new,Grid-50,,results/Grid/Ratio_50/50-12-1.dne,cd05
80.59,16.96,old,Grid-50,0.5061328124191316,results/Grid/Ratio_50/50-16-1.dne,cd06
1.44,1.28,old,Grid-50,0.4799127162686742,results/Grid/Ratio_50/50-10-9.dne,cd06
0.13,17.16,new,Grid-50,0.505519,results/Grid/Ratio_50/50-17-4.dne,cw
1.97,1001.6,old,Grid-50,,results/Grid/Ratio_50/50-17-9.dne,sbk05
30.69,295.74,old,Grid-50,,results/Grid/Ratio_50/50-17-9.dne,bklm16
90.97,18.29,old,Grid-50,0.31642155544008616,results/Grid/Ratio_50/50-16-9.dne,cd05
2.7,6.65,old,Grid-50,0.6063519,results/Grid/Ratio_50/50-12-5.dne,bklm16
2.25,1009.52,new,Grid-50,,results/Grid/Ratio_50/50-17-1.dne,d02
242.69,270.41,old,Grid-50,,results/Grid/Ratio_50/50-20-1.dne,bklm16
1.58,0.91,old,Grid-50,0.9147019,results/Grid/Ratio_50/50-10-10.dne,bklm16
423.16,45.69,old,Grid-50,0.21084850984204134,results/Grid/Ratio_50/50-19-8.dne,cd06
36.92,7.84,old,Grid-50,0.6052231705236963,results/Grid/Ratio_50/50-12-4.dne,d02
0.12,1000.62,new,Grid-50,,results/Grid/Ratio_50/50-20-4.dne,bklm16
204.95,309.31,old,Grid-50,,results/Grid/Ratio_50/50-20-3.dne,bklm16
1.92,1004.9,new,Grid-50,,results/Grid/Ratio_50/50-17-5.dne,cd05
1.69,1003.87,new,Grid-50,,results/Grid/Ratio_50/50-15-9.dne,cd05
0.45,61.39,new,Grid-50,0.718645,results/Grid/Ratio_50/50-18-3.dne,cw
1.89,1002.92,new,Grid-50,,results/Grid/Ratio_50/50-19-4.dne,cd06
0.16,15.47,new,Grid-50,0.45505,results/Grid/Ratio_50/50-18-6.dne,cw
2.34,1292.1,new,Grid-50,,results/Grid/Ratio_50/50-18-8.dne,d02
1.39,1.1,old,Grid-50,0.6116071603918672,results/Grid/Ratio_50/50-10-4.dne,cd05
300.86,27.1,old,Grid-50,0.7186449505592202,results/Grid/Ratio_50/50-18-3.dne,d02
2.14,1003.45,new,Grid-50,,results/Grid/Ratio_50/50-18-3.dne,cd06
19.68,5.17,old,Grid-50,0.15501664639392193,results/Grid/Ratio_50/50-15-4.dne,cd05
1.97,1002.21,new,Grid-50,,results/Grid/Ratio_50/50-16-9.dne,d02
1.7,1005.21,new,Grid-50,,results/Grid/Ratio_50/50-17-1.dne,cd05
1.14,1.15,new,Grid-50,0.506806,results/Grid/Ratio_50/50-10-6.dne,d02
2.08,1007.68,new,Grid-50,,results/Grid/Ratio_50/50-19-8.dne,d02
0.13,12.39,new,Grid-50,0.581344,results/Grid/Ratio_50/50-17-1.dne,cw
1.77,1014.51,new,Grid-50,,results/Grid/Ratio_50/50-15-8.dne,cd06
38.9,9.78,old,Grid-50,0.47005813812595265,results/Grid/Ratio_50/50-17-10.dne,cd05
0.1,1005.3,new,Grid-50,,results/Grid/Ratio_50/50-17-5.dne,bklm16
0.1,1002.8,new,Grid-50,,results/Grid/Ratio_50/50-12-9.dne,bklm16
0.1,1002.52,new,Grid-50,,results/Grid/Ratio_50/50-15-10.dne,bklm16
0.41,753.29,new,Grid-50,0.786982,results/Grid/Ratio_50/50-20-6.dne,cw
